description,effective_domain_size,goshv,intersection_size,intersections,name,native,p_value,parents,precision,query,query_size,recall,significant,source,term_size,source_order,group_id
"""A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."" [GOC:go_curators]",20029,36428,15,"[['IDA', 'IEA'], ['IDA', 'TAS', 'IEA'], [], ['IEA'], ['IDA', 'HDA', 'IEA'], [], ['IDA', 'IEA'], [], ['IEA'], ['ISS', 'IEA'], [], ['IEA'], ['IDA', 'ISS', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IEA'], ['IEA'], [], ['IDA', 'ISS', 'IEA'], ['IEA'], ['IDA', 'IEA']]",nucleus,GO:0005634,0.0003822917119282404,['GO:0043231'],0.7894736842105263,query_1,19,0.0026334269662921348,True,GO:CC,5696,238,4
"""Any cellular metabolic process involving nucleic acids."" [GOC:dph, GOC:tb]",21925,28105,14,"[['IEA'], ['IEA'], [], ['IEA'], [], [], ['IDA'], [], ['IEA'], ['IEA'], [], ['TAS', 'NAS', 'IEA'], ['IGI', 'ISS', 'NAS', 'IEA'], ['TAS', 'IEA'], ['TAS', 'NAS', 'IEA'], ['TAS'], [], ['IEA'], ['IMP', 'NAS', 'IEA'], ['IDA', 'IEA']]",nucleic acid metabolic process,GO:0090304,0.0005521199978446695,"['GO:0006139', 'GO:0043170']",0.7,query_1,20,0.0033034450212364322,True,GO:BP,4238,17951,5
"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a red or far red light stimulus. Red light is electromagnetic radiation of wavelength of 580-700nm. Far red light is electromagnetic radiation of wavelength 700-800nm. An example of this response is seen at the beginning of many plant species developmental stages. These include germination, and the point when cotyledon expansion is triggered. In certain species these processes take place in response to absorption of red light by the pigment molecule phytochrome, but the signal can be reversed by exposure to far red light. During the initial phase the phytochrome molecule is only present in the red light absorbing form, but on absorption of red light it changes to a far red light absorbing form, triggering progress through development. An immediate short period of exposure to far red light entirely returns the pigment to its initial state and prevents triggering of the developmental process. A thirty minute break between red and subsequent far red light exposure renders the red light effect irreversible, and development then occurs regardless of whether far red light exposure subsequently occurs."" [GOC:ai, GOC:mtg_far_red]",21925,13697,5,"[[], [], [], [], ['IMP'], ['IEP'], ['IMP', 'IEA'], [], [], ['IMP'], ['IMP', 'IEP', 'IEA'], [], [], [], [], [], [], [], [], []]",response to red or far red light,GO:0009639,0.0009946719703990794,['GO:0009416'],0.25,query_1,20,0.02066115702479339,True,GO:BP,242,3543,6
"""The process in which a gene's sequence is converted into a mature gene product (protein or RNA). This includes the production of an RNA transcript and its processing, as well as translation and maturation for protein-coding genes."" [GOC:txnOH-2018, PMID:25934543, PMID:31580950]",21925,14298,15,"[['IEA'], ['IEA'], [], ['IEA'], ['IMP'], [], ['IDA'], [], ['IEA'], ['IEA'], [], ['TAS', 'NAS', 'IEA'], ['IGI', 'ISS', 'NAS', 'IEA'], ['TAS', 'IEA'], ['TAS', 'NAS', 'IEA'], ['TAS'], [], ['IEA'], ['IMP', 'NAS', 'IEA'], ['IDA', 'IEA']]",gene expression,GO:0010467,0.001072730535356848,['GO:0009059'],0.75,query_1,20,0.002838758516275549,True,GO:BP,5284,4144,5
"""A stable assembly of two or more macromolecules, i.e. proteins, nucleic acids, carbohydrates or lipids, in which at least one component is a protein and the constituent parts function together in the nucleus."" [GOC:pg]",20029,39685,6,"[[], [], [], [], [], [], [], [], [], [], [], ['IEA'], ['ISS', 'IEA'], ['IEA'], ['IEA'], [], [], ['IEA'], ['IEA'], []]",nuclear protein-containing complex,GO:0140513,0.0011614253540132007,"['GO:0005634', 'GO:0032991']",0.3157894736842105,query_1,19,0.009216589861751152,True,GO:CC,651,3495,4
Spliceosome,5300,40428,5,"[[], [], [], [], [], [], [], [], [], [], [], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], [], [], ['KEGG'], [], []]",Spliceosome,KEGG:03040,0.0011624741760663311,['KEGG:00000'],0.4166666666666667,query_1,12,0.024390243902439025,True,KEGG,205,215,9
"""Any process involved in the conversion of a primary mRNA transcript into one or more mature mRNA(s) prior to translation into polypeptide."" [GOC:mah]",21925,12304,6,"[[], [], [], [], [], [], [], [], [], [], [], ['TAS', 'IEA'], ['ISS', 'IEA'], ['TAS', 'IEA'], ['TAS', 'IEA'], [], [], ['IEA'], ['IEA'], []]",mRNA processing,GO:0006397,0.0012868647284093135,"['GO:0006396', 'GO:0016071']",0.3,query_1,20,0.01282051282051282,True,GO:BP,468,2150,5
"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a light stimulus, electromagnetic radiation of wavelengths classified as infrared, visible or ultraviolet light."" [GOC:go_curators, ISBN:0582227089]",21925,13620,7,"[[], [], [], [], ['IDA', 'IMP', 'IEP', 'TAS', 'IEA'], ['IEP'], ['IMP', 'IEA'], ['IEP'], [], ['IMP'], ['IMP', 'IGI', 'IEP', 'IEA'], [], [], [], [], [], [], [], ['IMP'], []]",response to light stimulus,GO:0009416,0.0014782897506199846,['GO:0009314'],0.35,query_1,20,0.009162303664921465,True,GO:BP,764,3466,6
"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an electromagnetic radiation stimulus. Electromagnetic radiation is a propagating wave in space with electric and magnetic components. These components oscillate at right angles to each other and to the direction of propagation."" [GOC:jl, Wikipedia:Electromagnetic_radiation]",21925,13600,7,"[[], [], [], [], ['IDA', 'IMP', 'IEP', 'TAS', 'IEA'], ['IEP'], ['IMP', 'IEA'], ['IEP'], [], ['IMP'], ['IMP', 'IGI', 'IEP', 'IEA'], [], [], [], [], [], [], [], ['IMP'], []]",response to radiation,GO:0009314,0.001710001275961398,['GO:0009628'],0.35,query_1,20,0.008962868117797696,True,GO:BP,781,3446,6
"""Binding to an identical protein or proteins."" [GOC:jl]",22878,5147,5,"[['IDA'], [], [], [], ['IPI'], [], [], [], ['IPI'], ['IPI'], [], [], [], ['IPI'], [], [], [], [], [], []]",identical protein binding,GO:0042802,0.002522371164034609,['GO:0005515'],0.2631578947368421,query_1,19,0.012135922330097087,True,GO:MF,412,5147,3
"""Binding to a nucleic acid."" [GOC:jl]",22878,311,13,"[['IPI', 'IEA'], ['IDA', 'IPI', 'IEA'], [], ['IEA'], [], [], [], [], ['IPI'], ['IPI'], [], ['IDA', 'IEA'], ['IEA'], ['IDA', 'IEA'], ['IDA', 'HDA', 'IEA'], ['IEA'], [], ['IDA', 'HDA', 'IEA'], ['IEA'], ['IPI', 'IEA']]",nucleic acid binding,GO:0003676,0.002574667138973952,['GO:0005488'],0.6842105263157895,query_1,19,0.002602081665332266,True,GO:MF,4996,311,1
"""Any process that modulates the frequency, rate or extent of gene expression. Gene expression is the process in which a gene's coding sequence is converted into a mature gene product (protein or RNA)."" [GOC:txnOH-2018]",21925,14299,11,"[['IEA'], ['IEA'], [], ['IEA'], ['IMP'], [], ['IDA'], [], ['IEA'], ['IEA'], [], [], ['IGI'], [], [], ['TAS'], [], [], ['IMP'], ['IDA', 'IEA']]",regulation of gene expression,GO:0010468,0.0027393172593017435,"['GO:0010467', 'GO:0010556']",0.55,query_1,20,0.004054552156284556,True,GO:BP,2713,4145,5
"""A transcription regulator activity that modulates transcription of gene sets via selective and non-covalent binding to a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within a cis-regulatory region. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units, and include bacterial operons."" [GOC:txnOH-2018]",22878,326,8,"[['ISS', 'IEA'], ['ISS'], [], ['ISS', 'TAS', 'IEA'], [], [], ['ISS'], [], ['ISS'], ['ISS'], [], [], [], [], [], ['ISS'], [], [], [], ['ISS', 'TAS', 'IEA']]",DNA-binding transcription factor activity,GO:0003700,0.0027483992329494565,['GO:0140110'],0.42105263157894735,query_1,19,0.0050729232720355105,True,GO:MF,1577,326,2
"""The process whose specific outcome is the progression of the organism over time, from the completion of embryonic development to the mature structure. See embryonic development."" [GOC:go_curators]",21925,13817,9,"[['IMP', 'IEA'], ['IGI'], [], ['IEP', 'TAS', 'IEA'], ['IMP'], ['IMP'], ['IMP', 'IEA'], ['IEP'], [], ['IMP'], [], [], [], [], [], [], [], [], [], ['IMP', 'IEA']]",post-embryonic development,GO:0009791,0.003016209415559657,"['GO:0007275', 'GO:0032501']",0.45,query_1,20,0.005398920215956809,True,GO:BP,1667,3663,7
"""Any process that modulates the rate, frequency or extent of the chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]",21925,14346,11,"[['IEA'], ['IEA'], [], ['IEA'], ['IMP'], [], ['IDA'], [], ['IEA'], ['IEA'], [], [], ['IGI'], [], [], ['TAS'], [], [], ['IMP'], ['IDA', 'IEA']]",regulation of macromolecule biosynthetic process,GO:0010556,0.0030754576048621428,"['GO:0009059', 'GO:0009889', 'GO:0060255']",0.55,query_1,20,0.004007285974499089,True,GO:BP,2745,4192,5
"""The chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:mah]",21925,13375,15,"[['IEA'], ['IEA'], [], ['IEA'], ['IMP'], [], ['IDA'], [], ['IEA'], ['IEA'], [], ['TAS', 'NAS', 'IEA'], ['IGI', 'ISS', 'NAS', 'IEA'], ['TAS', 'IEA'], ['TAS', 'NAS', 'IEA'], ['TAS'], [], ['IEA'], ['IMP', 'NAS', 'IEA'], ['IDA', 'IEA']]",macromolecule biosynthetic process,GO:0009059,0.0031855719160177203,"['GO:0009058', 'GO:0043170']",0.75,query_1,20,0.0026187150837988825,True,GO:BP,5728,3221,5
"""The chemical reactions and pathways involving mRNA, messenger RNA, which is responsible for carrying the coded genetic 'message', transcribed from DNA, to sites of protein assembly at the ribosomes."" [ISBN:0198506732]",21925,15227,6,"[[], [], [], [], [], [], [], [], [], [], [], ['TAS', 'IEA'], ['ISS', 'IEA'], ['TAS', 'IEA'], ['TAS', 'IEA'], [], [], ['IEA'], ['IEA'], []]",mRNA metabolic process,GO:0016071,0.003952301869760642,['GO:0016070'],0.3,query_1,20,0.01054481546572935,True,GO:BP,569,5073,5
"""A molecular function that controls the rate, timing and/or magnitude of gene transcription. The function of transcriptional regulators is to modulate gene expression at the transcription step so that they are expressed in the right cell at the right time and in the right amount throughout the life of the cell and the organism. Genes are transcriptional units, and include bacterial operons."" [GOC:pg, GOC:txnOH-2018, Wikipedia:Transcription_factor]",22878,9303,8,"[['ISS', 'IEA'], ['ISS'], [], ['ISS', 'TAS', 'IEA'], [], [], ['ISS'], [], ['ISS'], ['ISS'], [], [], [], [], [], ['ISS'], [], [], [], ['ISS', 'TAS', 'IEA']]",transcription regulator activity,GO:0140110,0.004319150976187301,['GO:0003674'],0.42105263157894735,query_1,19,0.004767580452920143,True,GO:MF,1678,9303,2
"""A macromolecular complex that contains both RNA and protein molecules."" [GOC:krc, GOC:vesicles]",20029,40198,6,"[[], [], [], [], [], [], [], [], [], [], [], ['IEA'], ['ISS', 'IEA'], ['IEA'], ['IEA'], [], [], ['IEA'], ['IEA'], []]",ribonucleoprotein complex,GO:1990904,0.004557752540375513,['GO:0032991'],0.3157894736842105,query_1,19,0.007220216606498195,True,GO:CC,831,4008,4
"""Binding to a specific sequence of DNA that is part of a regulatory region that controls transcription of that section of the DNA. The transcribed region might be described as a gene, cistron, or operon."" [GOC:txnOH]",22878,113,6,"[['IPI', 'IEA'], ['IPI'], [], ['IEA'], [], [], [], [], ['IPI'], ['IPI'], [], [], [], [], [], [], [], [], [], ['IEA']]",transcription cis-regulatory region binding,GO:0000976,0.004562918157893163,"['GO:0001067', 'GO:1990837']",0.3157894736842105,query_1,19,0.007556675062972292,True,GO:MF,794,113,1
"""Binding to a nucleic acid region that regulates a nucleic acid-based process. Such processes include transcription, DNA replication, and DNA repair."" [GOC:txnOH]",22878,141,6,"[['IPI', 'IEA'], ['IPI'], [], ['IEA'], [], [], [], [], ['IPI'], ['IPI'], [], [], [], [], [], [], [], [], [], ['IEA']]",transcription regulatory region nucleic acid binding,GO:0001067,0.004562918157893163,['GO:0003676'],0.3157894736842105,query_1,19,0.007556675062972292,True,GO:MF,794,141,1
"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances."" [GOC:go_curators]",21925,13888,11,"[['IEA'], ['IEA'], [], ['IEA'], ['IMP'], [], ['IDA'], [], ['IEA'], ['IEA'], [], [], ['IGI'], [], [], ['TAS'], [], [], ['IMP'], ['IDA', 'IEA']]",regulation of biosynthetic process,GO:0009889,0.004589108799893988,"['GO:0009058', 'GO:0019222']",0.55,query_1,20,0.0038474991255683807,True,GO:BP,2859,3734,5
"""Binding to double-stranded DNA of a specific nucleotide composition, e.g. GC-rich DNA binding, or with a specific sequence motif or type of DNA, e.g. promotor binding or rDNA binding."" [GOC:dos, GOC:sl]",22878,10110,6,"[['IPI', 'IEA'], ['IPI'], [], ['IEA'], [], [], [], [], ['IPI'], ['IPI'], [], [], [], [], [], [], [], [], [], ['IEA']]",sequence-specific double-stranded DNA binding,GO:1990837,0.004895478084096889,"['GO:0003690', 'GO:0043565']",0.3157894736842105,query_1,19,0.007462686567164179,True,GO:MF,804,10110,1
"""Binding to a specific sequence of DNA that is part of a regulatory region that controls the transcription of a gene or cistron by RNA polymerase II."" [GOC:txnOH]",22878,114,3,"[['IEA'], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA']]",RNA polymerase II transcription regulatory region sequence-specific DNA binding,GO:0000977,0.0049376759251422144,['GO:0000976'],0.15789473684210525,query_1,19,0.03896103896103896,True,GO:MF,77,114,1
"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]",21925,24418,11,"[['IEA'], ['IEA'], [], ['IEA'], ['IMP'], [], ['IDA'], [], ['IEA'], ['IEA'], [], [], ['IGI'], [], [], ['TAS'], [], [], ['IMP'], ['IDA', 'IEA']]",regulation of macromolecule metabolic process,GO:0060255,0.005329854840473836,"['GO:0019222', 'GO:0043170']",0.55,query_1,20,0.0037891836031691355,True,GO:BP,2903,14264,5
"""The series of events in which a light stimulus (in the form of photons) is received and converted into a molecular signal."" [GOC:go_curators]",21925,13658,3,"[[], [], [], [], ['IMP'], [], ['IMP', 'IEA'], [], [], [], ['IMP', 'IEA'], [], [], [], [], [], [], [], [], []]",detection of light stimulus,GO:0009583,0.008152408372673793,"['GO:0009416', 'GO:0009581', 'GO:0009582']",0.15,query_1,20,0.05357142857142857,True,GO:BP,56,3504,6
"""Binding to double-stranded DNA."" [GOC:elh, GOC:vw]",22878,320,6,"[['IPI', 'IEA'], ['IPI'], [], ['IEA'], [], [], [], [], ['IPI'], ['IPI'], [], [], [], [], [], [], [], [], [], ['IEA']]",double-stranded DNA binding,GO:0003690,0.008863521766674126,['GO:0003677'],0.3157894736842105,query_1,19,0.006711409395973154,True,GO:MF,894,320,1
"""The process whose specific outcome is the progression of the shoot system over time, from its formation to the mature structure."" [GOC:go_curators]",21925,22689,7,"[['IEA'], ['IGI'], [], ['IEP', 'TAS', 'IEA'], ['IMP'], [], ['IMP'], ['IMP'], [], [], [], [], [], [], [], [], [], [], [], ['IMP', 'IEA']]",shoot system development,GO:0048367,0.009328085573638017,['GO:0048731'],0.35,query_1,20,0.00691699604743083,True,GO:BP,1012,12535,8
"""The series of events in which an (non-living) abiotic stimulus is received by a cell and converted into a molecular signal."" [GOC:hb]",21925,13657,3,"[[], [], [], [], ['IMP'], [], ['IMP', 'IEA'], [], [], [], ['IMP', 'IEA'], [], [], [], [], [], [], [], [], []]",detection of abiotic stimulus,GO:0009582,0.011631484367893338,"['GO:0009628', 'GO:0051606']",0.15,query_1,20,0.047619047619047616,True,GO:BP,63,3503,6
"""The series of events in which an external stimulus is received by a cell and converted into a molecular signal."" [GOC:hb]",21925,13656,3,"[[], [], [], [], ['IMP'], [], ['IMP', 'IEA'], [], [], [], ['IMP', 'IEA'], [], [], [], [], [], [], [], [], []]",detection of external stimulus,GO:0009581,0.011631484367893338,"['GO:0009605', 'GO:0051606']",0.15,query_1,20,0.047619047619047616,True,GO:BP,63,3502,6
"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."" [GOC:go_curators]",21925,15723,11,"[['IEA'], ['IEA'], [], ['IEA'], ['IDA', 'IMP'], [], ['IDA'], [], ['IEA'], ['IEA'], [], [], ['IGI'], [], [], ['TAS'], [], [], ['IMP'], ['IDA', 'IEA']]",regulation of metabolic process,GO:0019222,0.012311289541045288,"['GO:0008152', 'GO:0050794']",0.55,query_1,20,0.00347661188369153,True,GO:BP,3164,5569,5
"""A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones."" [GOC:curators, ISBN:0198547684]",21925,13374,16,"[['IEA'], ['IEA'], [], ['IEA'], ['IMP'], [], ['IDA'], ['TAS', 'IEA'], ['IEA'], ['IEA'], [], ['TAS', 'NAS', 'IEA'], ['IGI', 'ISS', 'NAS', 'IEA'], ['TAS', 'IEA'], ['TAS', 'NAS', 'IEA'], ['TAS'], [], ['IEA'], ['IMP', 'NAS', 'IEA'], ['IDA', 'IEA']]",biosynthetic process,GO:0009058,0.012451768929629263,['GO:0008152'],0.8,query_1,20,0.002178649237472767,True,GO:BP,7344,3220,5
"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a red light stimulus. Red light is electromagnetic radiation of wavelength of 580-700nm. An example of this response is seen at the beginning of many plant species developmental stages. These include germination, and the point when cotyledon expansion is triggered. In certain species these processes take place in response to absorption of red light by the pigment molecule phytochrome, but the signal can be reversed by exposure to far red light. During the initial phase the phytochrome molecule is only present in the red light absorbing form, but on absorption of red light it changes to a far red light absorbing form, triggering progress through development. An immediate short period of exposure to far red light entirely returns the pigment to its initial state and prevents triggering of the developmental process. A thirty minute break between red and subsequent far red light exposure renders the red light effect irreversible, and development then occurs regardless of whether far red light exposure subsequently occurs."" [GOC:mtg_far_red, GOC:sm]",21925,14060,3,"[[], [], [], [], ['IMP'], ['IEP'], [], [], [], [], ['IEP'], [], [], [], [], [], [], [], [], []]",response to red light,GO:0010114,0.014636512553131328,['GO:0009639'],0.15,query_1,20,0.04411764705882353,True,GO:BP,68,3906,6
"""Any process that modulates the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:go_curators]",21925,23244,13,"[['IEA'], ['IEA'], [], ['IEA'], ['IDA', 'IMP', 'TAS', 'IEA'], [], ['IDA', 'IMP', 'IEA'], ['TAS'], ['IEA'], ['IEA'], ['IMP', 'IEA'], [], ['IGI'], [], [], ['TAS'], [], [], ['IMP'], ['IDA', 'IEA']]",regulation of cellular process,GO:0050794,0.015165398706596217,"['GO:0009987', 'GO:0050789']",0.65,query_1,20,0.002770083102493075,True,GO:BP,4693,13090,5
"""The volume enclosed by the nuclear inner membrane."" [GOC:mah, GOC:pz]",20029,37388,6,"[[], [], [], [], ['IDA', 'IEA'], [], [], [], [], [], [], [], ['IDA', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IEA'], [], [], ['IDA', 'IEA'], ['IEA'], []]",nuclear lumen,GO:0031981,0.01676211632247676,"['GO:0005634', 'GO:0070013']",0.3157894736842105,query_1,19,0.0056925996204933585,True,GO:CC,1054,1198,4
"""Binding to DNA of a specific nucleotide composition, e.g. GC-rich DNA binding, or with a specific sequence motif or type of DNA e.g. promotor binding or rDNA binding."" [GOC:jl]",22878,5280,6,"[['IPI', 'IEA'], ['IDA', 'IPI'], [], ['IEA'], [], [], [], [], ['IPI'], ['IPI'], [], [], [], [], [], [], [], [], [], ['IPI', 'IEA']]",sequence-specific DNA binding,GO:0043565,0.020252831995999487,['GO:0003677'],0.3157894736842105,query_1,19,0.005780346820809248,True,GO:MF,1038,5280,1
"""The joining together of exons from one or more primary transcripts of messenger RNA (mRNA) and the excision of intron sequences, via a spliceosomal mechanism, so that mRNA consisting only of the joined exons is produced."" [GOC:krc, ISBN:0198506732, ISBN:0879695897]",21925,10275,4,"[[], [], [], [], [], [], [], [], [], [], [], ['TAS'], ['ISS'], ['TAS'], ['TAS'], [], [], [], [], []]","mRNA splicing, via spliceosome",GO:0000398,0.020752956030955734,"['GO:0000377', 'GO:0006397']",0.2,query_1,20,0.017937219730941704,True,GO:BP,223,121,5
